ESTACION,X,Y,CODIGO,UBICACION
Ciudad Vieja 3,572796,6137122, E1, (Ciudad Vieja)   Academia Uruguay
Ciudad Vieja 1,572831,6136774, E1, (Ciudad Vieja)   Sede AEBU
Ciudad Vieja 2,572452,6137044, E1, (Ciudad Vieja)   Museo Romantico
Centro,574385,6137072, E2, (Centro)  Edificio Sede de Intendencia
Tres Cruces,576888,6138953, E5, (Tres Cruces)  Universidad Catolica Damaso Antonio Larranaga
Tres Cruces 2,576214,6138373, E5, (Tres Cruces)  Shopping Tres Cruces
Tres Cruces 3,576247,6138473, E5, (Tres Cruces)  Escuela 274 Aquiles Lanza
Tres Cruces 4,576324,6138361, E5, (Tres Cruces)  Plaza Tres Cruces
Curva de Maronas,579229,6142255, E6, (Curva de Maronas)  Edificio Municipio F
Portones de Carrasco,583940,6139481, E7, (Portones de Carrasco)  Shopping Portones
Portones de Carrasco 2,583737,6139486, E7, (Portones de Carrasco)  Policlinica Lugo
La Teja 1,569843,6141519, E3, (La Teja)  Biblioteca Municipal
La Teja 2,570883,6142541, E3, (La Teja)  Comisaria 19
Colon ,570970,6149046, E8, (Colon)  Laboratorio MTOP
Colon 1,570997,6148957, E8, (Colon)  MTOP Servicio Maquinas
Colon 2,571002,6149011, E8, (Colón)  Centro Civico Enrique Erro
Goes,574668,6139720, E9, (Goes)  Comunal Zonal 3
Prado,573289,6142937, E4, (Prado) Museo Blanes
